бюст	*бюст
*Вергилия	**Вергилия
у	у.root
вход	в-ход.root
в	*в
он	о.root-н
склеп	с-клеп.root
в	*в
*Неаполе	**Неаполе
*Пу́блий	**Пу́блий
*Верги́лий	**Верги́лий
*Маро́н	**Маро́н
(	*(
Publius	*Publius
*Vergilius	**Vergilius
*Maro;	**Maro;
*15	**15
октябрь	октябрь.root
*70	**70
год	год.root
до	до.root
н	*н
э	*э
*Анды	**Анды
близ	близ.root
*Мантуи	**Мантуи
*Цизальпийская	**Цизальпийская
*Галлия	**Галлия
*—	**—
*21	**21
сентябрь	сентябрь.root
*19	**19
год	год.root
до	до.root
н	*н
э	*э
*Брундизий	**Брундизий
*Италия	**Италия
*—	**—
римский	рим.root-ск-ой
поэт	поэт.root
рождаться	рожд.root-а-ть-ся
в	*в
незнатный	не-знат.root-н-ой
но	но.root
зажиточный	за-жит.root-очн-ой
семья	семь.root-а
в	*в
юность	юн.root-ость
переезжать	пере-езж.root-а-ть
в	*в
*Медиолан	**Медиолан
а	*а
поздно	позд.root-н-о
перебираться	пере-бир.root-а-ть-ся
в	*в
*Италию	**Италию
большой	больш.root-ой
часть	часть.root	час.root-ть	ча.root-сть
свой	свой.root
небогатый	не-богат.root-ой
событие	со-быт.root-иj-о	со-бы.root-тиj-о	с-обы.root-тиj-о
жизнь	жи.root-знь
*Вергилий	**Вергилий
проводить	про-вод.root-и-ть
в	*в
*Неаполе	**Неаполе
и	и.root
он	о.root-н
окрестности	о-крест.root-нос.root-ти	о-крест.root-но.root-сти
время	время.root	врем.root-а
от	от.root
время	время.root	врем.root-а
появляться	по-явл.root-а-ть-ся
в	*в
*Риме	**Риме
писать	пис.root-а-ть
стих	стих.root
он	о.root-н
начинать	на-чин.root-а-ть	на.root-чин-а-ть	нач.root-ин-а-ть
еще	еще.root
в	*в
*50-е	**50-е
год	год.root
до	до.root
н	*н
э	*э
известный	извест.root-н-ой
впоследствии	в-по-след.root-ствиj-и
сборник	с-бор.root-ник
*Appendix	**Appendix
*Vergiliana	**Vergiliana
содержать	сод.root-о-ржа.root-ть	со-де-ржа.root-ть	со-держ.root-а-ть
ряд	ряд.root
небольшой	не-больш.root-ой
ранний	ран.root-н-ой
произведение	про-из-вед.root-ениj-о
принадлежность	при-над-леж.root-ность	при-над-леж.root-н-ость
который	котор.root-ой
*Вергилию	**Вергилию
оспариваться	осп.root-арь-ива-ть-ся	осп.root-ар-ива-ть-ся
многий	мног.root-ой
исследователь	исследова.root-тель
в	*в
*39	**39
год	год.root
до	до.root
н	*н
э	*э
быть	бы.root-ть
опубликовывать	о-публик.root-ов-ыва-ть
цикл	цикл.root
пастушеский	паст.root-уш-еск-ой
стих	стих.root
«	*«
иметь	им.root-е-ть
большой	больш.root-ой
успех	у-с-пех.root	ус.root-пех.root
и	и.root
сделать	с-дел.root-а-ть	с-де-ла.root-ть
он	о.root-н
автор	автор.root
самый	сам.root-ой
популярный	попул.root-ар-н-ой
поэт	поэт.root
свой	свой.root
эпоха	эп.root-ох-а
примерно	прим.root-ор-н-о	прим.root-ер-н-о	при-мер.root-н-о
тогда	тогда.root
же	же.root
*Вергилий	**Вергилий
становиться	стан.root-о-ви.root-ть-ся	стан.root-ов-и-ть-ся
вместе	в-мест.root-о
со	со.root
свой	свой.root
друг	друг.root
*Квинтом	**Квинтом
*Горацием	**Горацием
*Флакком	**Флакком
член	член.root
литературный	литер.root-атур-н-ой	литерат.root-ур-н-ой
кружка	круж.root-к-а
сформировываться	с-форм.root-ир-ов-ыва-ть-ся
вокруг	во-круг.root
*Гая	**Гая
*Цильния	**Цильния
*Мецената;	**Мецената;
этот	эт.root-от
кружок	круж.root-ок
объединять	об-един.root-а-ть
отношение	от-нош.root-ениj-о
к	*к
*Октавиану	**Октавиану
поздно	позд.root-н-о
получать	получ.root-а-ть	пол-у-ча.root-ть
имя	им.root-а	имя.root
*Август	**Август
как	как.root
к	*к
человек	человек.root
спасать	спас.root-а-ть
*Рим	**Рим
от	от.root
ужас	ужас.root
гражданский	гражд.root-анск-ой
война	вой.root-н-а
к	*к
*29	**29
год	год.root
до	до.root
н	*н
э	*э
публий	публ.root-ой
заканчивать	за-канч.root-ива-ть
дидактический	дидакт.root-ическ-ой	дидакт.root-ич-еск-ой
эпос	эп.root-ос.root
о	о.root
земледелие	земл.root-о-дел.root-иj-о	земл.root-о-де-ли.root-о
«	*«
и	и.root
начинать	на-чин.root-а-ть	на.root-чин-а-ть	нач.root-ин-а-ть
работа	работ.root-а
над	над.root
«	*«
*—	**—
поэма	*поэма
об	об.root
исток	ист.root-ок	ис-ток.root
римский	рим.root-ск-ой
история	истори.root-а
задумывать	зад.root-ум-ыва-ть	за-дум.root-ыва-ть
как	как.root
латинский	латин.root-ск-ой	лат.root-инск-ой
«	*«
*Гомеру	**Гомеру
он	о.root-н
не	не.root
успевать	у-сп.root-ева-ть	у-спе.root-ва-ть
заканчивать	за-канч.root-ива-ть
это	это.root	эт.root-о
произведение	про-из-вед.root-ениj-о
и	и.root
хотеть	хот.root-е-ть
сжигать	с-жиг.root-а-ть
рукопись	рук.root-о-пись.root
перед	перед.root
смерть	с-мер.root-ть
но	но.root
«	*«
все	вс.root-о
же	же.root
быть	бы.root-ть
издавать	из-дав.root-а-ть	из-да.root-ва-ть
и	и.root
становиться	стан.root-о-ви.root-ть-ся	стан.root-ов-и-ть-ся
для	дл.root-а
*Рима	**Рима
основополагающий	основ.root-о-пол.root-аг-а-ющ-ой	основ.root-о-по-лаг.root-а-ющ-ой	основ.root-о-пол-аг.root-а-ющ-ой
национальный	нац.root-ион-а-льн-ой	нац.root-ион.root-альн-ой	нац.root-и-он-альн-ой
эпос	эп.root-ос.root
